outcome	gene_name	exposure	method	nsnp	b	se	pval	tissue	adjusted_pval	gene_chr	gene_start	gene_end
genus..Clostridiuminnocuumgroup.id.14397	A2M	ENSG00000175899.14	Inverse variance weighted	99	0.0954502612652487	0.0121927807364967	4.94022172389678e-15	Transverse	5.62147414817532e-12	chr12	9068183	9116229
genus..Clostridiuminnocuumgroup.id.14397	A2MP1	ENSG00000256069.7	Inverse variance weighted	282	-0.0406104404780075	0.00295845853284927	7.00757517647395e-43	Transverse	2.97508569938621e-39	chr12	9228533	9275817
genus..Clostridiuminnocuumgroup.id.14397	ATN1	ENSG00000111676.14	Inverse variance weighted	85	-0.255097348018372	0.022446488728775	6.26878218571449e-30	Transverse	1.63241499186077e-26	chr12	6924463	6942321
genus..Clostridiuminnocuumgroup.id.14397	C12orf57	ENSG00000111678.10	Inverse variance weighted	81	-0.11174289572684	0.0100744028888129	1.37548811042114e-28	Transverse	3.27670560704667e-25	chr12	6943433	6946003
genus..Clostridiuminnocuumgroup.id.14397	C3AR1	ENSG00000171860.4	Inverse variance weighted	20	-0.110742353785886	0.029070625297122	0.000139290601768557	Transverse	0.0162583008494749	chr12	8058302	8066471
genus..Clostridiuminnocuumgroup.id.14397	CAPS2	ENSG00000180881.19	Inverse variance weighted	4	-0.177801190463119	0.0413519506844891	1.71025586235436e-05	Transverse	0.00328784964515181	chr12	75275979	75390928
genus..Clostridiuminnocuumgroup.id.14397	CLECL1	ENSG00000184293.7	Inverse variance weighted	100	0.0532375290746904	0.0124107935369058	1.78982925011713e-05	Transverse	0.0034115089616305	chr12	9715860	9733299
genus..Clostridiuminnocuumgroup.id.14397	CTD-2318O12.1	ENSG00000278635.1	Inverse variance weighted	209	-0.0814745572811038	0.00475626307924996	8.87281985456237e-66	Transverse	9.31751109943654e-62	chr12	9415641	9416718
genus..Clostridiuminnocuumgroup.id.14397	FAM90A1	ENSG00000171847.10	Inverse variance weighted	11	-0.0914413872203754	0.0216009165414595	2.30371070219896e-05	Transverse	0.00416892724028309	chr12	8221260	8227618
genus..Clostridiuminnocuumgroup.id.14397	GLIPR1L2	ENSG00000180481.10	Inverse variance weighted	5	0.0631957739404398	0.0168625467519379	0.000178463208424818	Transverse	0.0193946252430214	chr12	75391070	75432688
genus..Clostridiuminnocuumgroup.id.14397	GNB3	ENSG00000111664.10	Inverse variance weighted	96	-0.0741837604632604	0.0110128031176971	1.6265192808608e-11	Transverse	1.33781730837783e-08	chr12	6840211	6847393
genus..Clostridiuminnocuumgroup.id.14397	GOLGA2P5	ENSG00000238105.7	Inverse variance weighted	3	-0.313699046163809	0.088729889856932	0.000407099385397881	Transverse	0.034526016210371	chr12	100156412	100173195
