gene_id	microbiota	pval	se	gene_name	Tissue	chr	diseases
ENSG00000001631.15	genus.Oscillospira.id.2064	0.00623206359516029	0.042361772334305	KRIT1	Transverse	7	NA
ENSG00000002919.14	genus.Eggerthella.id.819	0.0132323924404047	0.0476896694824179	SNX11	Transverse	17	NA
ENSG00000002919.14	genus.Escherichia.Shigella.id.3504	0.0279185440924369	0.0314434968600758	SNX11	Transverse	17	NA
ENSG00000002919.14	genus.Peptococcus.id.2037	0.0148309290098704	0.0456872221234801	SNX11	Transverse	17	NA
ENSG00000003056.7	genus..Eubacteriumcoprostanoligenesgroup.id.11375	0.023427409096045	0.0148245964022077	M6PR	Transverse	12	NA
ENSG00000003056.7	genus..Eubacteriumfissicatenagroup.id.14373	0.000193230206737331	0.031189824015668	M6PR	Transverse	12	NA
ENSG00000003056.7	genus..Eubacteriumoxidoreducensgroup.id.11339	1.92631523434773e-05	0.025708396277294	M6PR	Transverse	12	NA
ENSG00000003056.7	genus..Eubacteriumrectalegroup.id.14374	1.0337940391799e-05	0.0148242217935607	M6PR	Transverse	12	NA
ENSG00000003056.7	genus..Eubacteriumruminantiumgroup.id.11340	0.0217986610697669	0.0220092751844626	M6PR	Transverse	12	NA
ENSG00000003056.7	genus..Eubacteriumxylanophilumgroup.id.14375	1.22181655250441e-27	0.0170351208205957	M6PR	Transverse	12	NA
ENSG00000003056.7	genus..Ruminococcustorquesgroup.id.14377	0.000102955923047212	0.0146289280757249	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Adlercreutzia.id.812	2.52852994793809e-06	0.0216972504958505	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Akkermansia.id.4037	1.27249252032693e-07	0.0180559495145661	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Alistipes.id.968	0.00408793940384789	0.014725622838836	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Anaerofilum.id.2053	0.0155764424115687	0.0278141369419489	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Anaerostipes.id.1991	0.000812991465860888	0.0149639764241286	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Anaerotruncus.id.2054	0.0074363776394617	0.0152012804666037	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Bifidobacterium.id.436	1.09178783632388e-09	0.0159772090482752	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Coprobacter.id.949	0.00143851368622268	0.0238277467498435	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.DefluviitaleaceaeUCG011.id.11287	5.37674871997812e-07	0.0218110060667374	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Eggerthella.id.819	0.00168269860820515	0.0271674639569154	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Eisenbergiella.id.11304	8.54311642862173e-10	0.0263903505632378	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Erysipelatoclostridium.id.11381	1.44243940948417e-12	0.0198498287466289	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Flavonifractor.id.2059	0.00837191683357826	0.0187117807365422	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Holdemanella.id.11393	0.000741595113611551	0.0222643386676464	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Holdemania.id.2157	0.0189103307956652	0.0206700308001089	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Howardella.id.2000	0.0452341857589591	0.0316172555296728	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Lachnoclostridium.id.11308	0.00101802933283178	0.0145753095912188	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Lachnospira.id.2004	0.000739296277533697	0.0151799665671113	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.LachnospiraceaeNC2004group.id.11316	1.07420828842107e-06	0.0236795468345212	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.LachnospiraceaeND3007group.id.11317	6.64654709720156e-05	0.0157625650753428	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.LachnospiraceaeUCG001.id.11321	4.89974295890144e-11	0.019524106020911	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.LachnospiraceaeUCG004.id.11324	9.98105786334451e-05	0.0161665117910989	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Methanobrevibacter.id.123	0.00578586757286539	0.0325413578186478	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Odoribacter.id.952	9.3285501701373e-33	0.0161125981536141	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Oscillibacter.id.2063	5.93036096364968e-10	0.0206456392459048	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Oxalobacter.id.2978	0.029490941758719	0.0287670919547601	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Paraprevotella.id.962	1.21334457671857e-05	0.0227202285838198	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Prevotella9.id.11183	6.10360250565612e-21	0.0190298155455962	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Roseburia.id.2012	5.95184629412757e-05	0.0146076143919005	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Ruminiclostridium5.id.11355	0.0188405240908624	0.0148120750701761	M6PR	Transverse	12	NA
ENSG00000003056.7	genus.Ruminiclostridium9.id.11357	1.01911334087725e-07	0.0151143372899652	M6PR	Transverse	12	NA
